account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x00116c7383bc09abee24ac9e157b5838de1c28ed,13996934,14589516,2022-01-13,2022-04-15,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3950.868055195784,3056.356673334341,3101.797532529884,-894.5113818614432,-849.0705226659002,-0.22640882190056227,-0.21490733449052749,-0.014649846973886972,0
0x00242e439aca4bfc9cd7a328306b5e816e366cba,12791445,12912769,2021-07-09,2021-07-28,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4211.213407486242,6710.8051242693855,7183.699947934219,2499.591716783143,2972.486540447977,0.5935561737003491,0.7058503696734556,-0.06582886633521239,0
0x00286d6391f19509d0de164e67a5e76f67b44fff,12950236,14666127,2021-08-03,2022-04-27,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15745.374562947922,24094.20063713153,24758.910167989823,8348.826074183607,9013.535605041901,0.5302399152720125,0.5724560929946112,-0.026847285536730943,0
0x003dfd836b5aecc95f0e42f1e1f21879c31e8f46,13546662,13750664,2021-11-03,2021-12-06,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,12849.802121691306,12831.555717925206,12868.807852701495,-18.24640376609932,19.005731010189265,-0.001419975466804909,0.0014790679911020847,-0.002894761908226674,0
0x0074073386a1e53ac6a5ee0c1a1678677ac31b89,12799581,12799609,2021-07-10,2021-07-10,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4003.4853321888722,4009.5446729292908,4009.5416700957717,6.05934074041852,6.056337906899444,0.001513516408240623,0.0015127663534084167,7.489218883725056e-07,0
0x00bf5ec16471769882c6aa21d99fecf7a8f5d94e,12739217,15053410,2021-07-01,2022-07-01,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16594.7093407755,15651.456752500486,19524.55130181333,-943.2525882750124,2929.8419610378332,-0.05684056098272901,0.17655277359024335,-0.19837047671119254,0
0x00f282c40b92bed05f1776cadf1c8b96b9fbaee3,12991601,13282767,2021-08-09,2021-09-23,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,13997.393297437498,18404.080096928443,18797.232502702525,4406.686799490944,4799.839205265027,0.3148219604787183,0.34290950488215066,-0.020915440914909048,0
0x01288b3cd20a2fcf0178bbbd75598b09b93e6371,13816166,13899904,2021-12-16,2021-12-29,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11242.690774209012,10746.10405363463,10745.776536733989,-496.5867205743816,-496.9142374750227,-0.044169739304185336,-0.044198870844598455,3.047866289806558e-05,0
0x0129e2b896b6431fdc3356f903545c7587d16d85,13389350,13926265,2021-10-10,2022-01-02,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,923.477336717777,1178.297984971678,1192.1137942621667,254.82064825390103,268.6364575443897,0.2759360063556996,0.29089664344030075,-0.011589337659698575,0
0x0145be32ccb0e019468fe02cda9cf2f7fcb2d9db,13207408,13683210,2021-09-12,2021-11-25,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3826.773615121628,8428.301677659987,9466.315183456778,4601.528062538358,5639.541568335149,1.202456305320822,1.4737066091525002,-0.10965338525922011,0
0x01571444300d21aba43ccbe36c754c2d4a8dca09,12945480,13332128,2021-08-02,2021-10-01,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1995.2953402833357,3083.8023861276924,3190.9084748068244,1088.5070458443568,1195.6131345234887,0.5455368054384303,0.5992161212353202,-0.03356601717810665,0
0x0159dfc1c745dc4b10d42d2592335120f1f2d778,12739752,15054301,2021-07-01,2022-07-01,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,39981.72706493948,37624.03961050873,45840.94876731459,-2357.68745443075,5859.221702375115,-0.05896912483548612,0.14654748887806665,-0.17924823498995,0
0x015ee2f3397f6e285a438bceac0e846aca69a155,12428845,12442455,2021-05-14,2021-05-16,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,466.1884026839596,579.6183955238355,580.0232000623027,113.42999283987587,113.83479737834313,0.2433136306841438,0.2441819588882276,-0.0006979109429136261,7.9605334967940315
0x0197e9707cdd8facb55478d82b8f15fbb9b24971,13622164,14468800,2021-11-15,2022-03-27,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,659.7602599358057,384.3584370907367,386.3446071632611,-275.40182284506903,-273.4156527725446,-0.41742711643751546,-0.41441667432219664,-0.005140928683094357,0
0x01a5f800f3f93d694d5d0e60d07ac333402bef87,13212091,13562198,2021-09-12,2021-11-06,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1384.373454992373,2521.440563514779,2643.773014384417,1137.0671085224062,1259.399559392044,0.8213586474241308,0.909725301977119,-0.04627191903542521,0
0x01c951f7970debde643efa58d3b529b2c2df5fe5,12949026,13073769,2021-08-03,2021-08-22,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10409.638170800015,4374.183750446494,14467.806993809998,-6035.4544203535215,4058.1688230099826,-0.5797948325700236,0.38984725082890165,-0.6976608996568746,0
0x021a8db81d9d59252f279bc59d453d143cd0a696,13452136,14250036,2021-10-20,2022-02-21,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,34426.604948362925,10308.046390015854,20743.781640254252,-24118.55855834707,-13682.823308108673,-0.7005790607154823,-0.3974491045118095,-0.5030777623491456,0
0x02360b97bbc9729916b470f699df75ff651bf926,13021389,14500445,2021-08-14,2022-04-01,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6592.6215125672425,7252.483427265063,7206.157541350054,659.8619146978208,613.5360287828116,0.1000909749543415,0.0930640455565746,0.006428652947036478,0
0x025d50c11596869993b94f4beb626eff6bea8aae,13395032,14728673,2021-10-11,2022-05-07,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10438.668647155795,7604.297866590535,7575.427631868995,-2834.3707805652602,-2863.2410152867997,-0.2715260802283954,-0.27429178107563956,0.0038110369637861102,0
0x0267940d1897b150ac9601ef00d0e38a5fda3011,12798061,13005317,2021-07-10,2021-08-11,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1200.782134375245,3398.689147587901,4050.704858072335,2197.9070132126562,2849.92272369709,1.830396164543375,2.373388679021175,-0.16096351951811114,0
0x027cc9f1ee460e520bb6d3248c4cbae364040061,13617469,14028987,2021-11-15,2022-01-18,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,73625.3396968315,12329.168640051692,53156.14997623737,-61296.171056779815,-20469.189720594135,-0.83254177582311,-0.278018272036238,-0.7680575315262061,0
0x028f06badc36d099be3d6c17a64c65aa61351772,12737492,12951209,2021-06-30,2021-08-03,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,502.028431411336,1018.9747262076976,1173.9162588053737,516.9462947963616,671.8878273940377,1.0297151763757433,1.3383461679753508,-0.13198686996238648,0
0x02cb056487196cd77542d7233f140a2318281ef3,13388932,14894298,2021-10-10,2022-06-03,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4219.601389307591,1963.9363644870766,1964.471208141143,-2255.665024820514,-2255.1301811664475,-0.5345682723814474,-0.5344415202063671,-0.0002722583318350206,0
0x02d69f32144e4e3ad953d83e6815e065e4712e2b,12986527,14742813,2021-08-08,2022-05-09,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2689.7619668827324,2726.040997883405,2741.9345141121416,36.2790310006726,52.17254722940925,0.013487822137182554,0.01939671534945302,-0.005796460909965634,0
0x02d82f206fd21f1e2c72c8ecc346d90640498539,14691978,14891966,2022-05-01,2022-06-02,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,915.8002085225851,580.5903068576772,580.8582402581194,-335.2099016649079,-334.9419682644657,-0.3660295100889804,-0.3657369425639364,-0.00046127158379147,0
0x02df7e960ffda6db4030003d1784a7639947d200,13808382,14756886,2021-12-15,2022-05-11,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,55694.69831852563,24105.96123270641,25235.17744960524,-31588.737085819223,-30459.520868920394,-0.5671767338635878,-0.5469016223899483,-0.04474770265253251,0
0x030a45ebfc5cd6f88d2e1a1dabd747279d4fb97c,13541223,13898761,2021-11-03,2021-12-29,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,53861.40642114874,46399.25659974117,46258.64155742254,-7462.149821407569,-7602.764863726203,-0.13854353826300286,-0.14115422097000735,0.003039757277439353,0
0x0337dcbc6f5f2c2ca665fdd487f7d8f23c305b08,13685679,14903940,2021-11-25,2022-06-04,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16821.436314200848,4346.563124734289,4775.001994436321,-12474.873189466558,-12046.434319764527,-0.7416057081246462,-0.7161358931992502,-0.08972538026187955,0
0x033c9f336f9b7f25cda00b97fe299d1b9a129908,12976000,14700662,2021-08-07,2022-05-02,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11807.613789939183,14156.473910892128,14283.491379765275,2348.8601209529443,2475.877589826092,0.19892758712639452,0.2096848384332906,-0.008892606541079102,0
0x035cd398a159cdf48001bbe9bd7c3750e32bed56,13103995,13927830,2021-08-27,2022-01-02,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11230.42127868763,17798.928477278965,18320.514013424825,6568.507198591335,7090.092734737194,0.584885200260174,0.6313291869283938,-0.02847002741100248,0
0x0376423e93006e4d802bc9c42e1356acaedeb2c2,13469870,14487066,2021-10-22,2022-03-30,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16215.827389450322,13783.08502131412,13716.013531923662,-2432.7423681362015,-2499.8138575266603,-0.15002270989384686,-0.1541588842486685,0.004890013358061481,0
0x03c3137d1b8e661096bf27e655ee3607f196d079,13254408,14538698,2021-09-19,2022-04-07,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,33980.39544212536,35599.052202444625,35518.682075557736,1618.656760319267,1538.2866334323771,0.04763501834686199,0.04526982730534588,0.0022627564478862466,0
0x03d1f6f0cef8396dc49f7c3346eb6a7a3adc71bd,13587436,13858878,2021-11-10,2021-12-23,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2984.9309956471307,2663.6137700738423,2660.602726529043,-321.3172255732884,-324.3282691180875,-0.10764645013297103,-0.10865519825786572,0.001131714823402912,0
0x03eb1dfbc7a1f4418e46539b0356bbb22a782f47,12907825,12994668,2021-07-27,2021-08-10,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,95.07944140255009,177.04279660340012,183.6299649014999,81.96335520085003,88.55052349894981,0.862051290918204,0.9313319703261828,-0.03587196839923797,0
0x0403479bfefe8eedcc662b9c6be459004b177f14,13212582,13280555,2021-09-12,2021-09-23,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,50162.47181422089,52671.53689504684,53079.07169898,2509.0650808259525,2916.599884759111,0.05001876881423218,0.05814306550843184,-0.007677881147665019,0
0x0407a33dbe0ba93bf4f6bd22e7ea4fd8b8a1f586,13407436,13455801,2021-10-13,2021-10-20,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2101.745430294646,2430.122379799559,2431.2182476787493,328.3769495049128,329.4728173841031,0.15624011584451367,0.15676152431929585,-0.00045074845922888116,0
0x0440eb2ee8d5b988a980305da901a2ef3db79110,13076506,14498287,2021-08-22,2022-04-01,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18469.655594018874,9825.73620478891,20664.45330425904,-8643.919389229965,2194.7977102401674,-0.46800652807132853,0.11883262787807047,-0.5245102272914339,0
0x045e40c0852af5f1362532bb4a646bd4960adf1c,13494752,14578839,2021-10-26,2022-04-13,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,12620.899380093788,8580.657962036521,8561.028017564406,-4040.241418057267,-4059.871362529382,-0.32012309870956623,-0.3216784509773354,0.0022929424400715825,0
0x0486fc9452221b82ad8359fc8b3ac94152b73932,13266618,13808496,2021-09-21,2021-12-15,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1451.0657686193874,2608.402641585937,2739.804643981951,1157.3368729665497,1288.7388753625635,0.7975771312334758,0.8881326423878985,-0.04796035464960671,0
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,12787963,13646249,2021-07-08,2021-11-19,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,85849.88150036085,112525.08112279417,140354.8705818103,26675.199622433327,54504.98908144946,0.31071911988977186,0.6348871789790457,-0.19828160820963212,0
0x04d6c015b6b393e87306bf38a7b7dddd0d318f67,13529736,13542148,2021-11-01,2021-11-03,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,12280.464694602251,9879.786305180947,14434.005092445976,-2400.678389421304,2153.5403978437243,-0.19548758529280222,0.17536310322119084,-0.31552010395565644,0
0x04fa514d08e0235a581ae7ca041cd9f5a0b0180b,13924229,14566003,2022-01-02,2022-04-11,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,29751.211451510877,19721.936678675887,20156.06792232685,-10029.27477283499,-9595.143529184028,-0.33710475249657995,-0.3225126998550088,-0.02153848882251855,0
0x052197294bb2eccfeb97c9c9feea7b17588b76a8,13211300,14313131,2021-09-12,2022-03-03,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,21014.347927288843,10836.067427417402,22082.991646383674,-10178.280499871442,1068.6437190948309,-0.484349099724104,0.050853051581348854,-0.5093025618568341,0
0x05258e865f382b33e3d45bcd0fef58458611bda9,12995008,13252269,2021-08-10,2021-09-18,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11469.800249397724,3120.731434937312,13648.43428734752,-8349.068814460412,2178.634037949796,-0.7279175428446384,0.18994524669810145,-0.7713487591884208,0
0x0587c4f94cb53a4ede3821cf2072824801e7a6a9,13949080,14460856,2022-01-06,2022-03-26,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3272.859405649443,2511.6176192928647,2537.508890029384,-761.2417863565784,-735.350515620059,-0.23259226627412152,-0.2246813640545434,-0.010203420700614581,0
0x058eb53b19316d56f46550955b73b489d6b1c236,13002772,13365590,2021-08-11,2021-10-06,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3331.813180649897,4250.517815543648,4281.198738337573,918.7046348937511,949.3855576876758,0.27573713923376414,0.2849456155589404,-0.007166432737443634,0
0x0597433ed2970fef8976e106e77db2e996f5a353,12738869,15052943,2021-07-01,2022-07-01,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,112913.28920146468,107409.77707303074,134796.8052299649,-5503.51212843394,21883.51602850022,-0.04874104870520901,0.1938081529929991,-0.20317267987332174,0
0x05a350f9369d253b225500cb300218b61bc6a97c,13315853,14283997,2021-09-28,2022-02-26,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,39175.535779248035,9910.339822892367,40856.81345815709,-29265.195956355667,1681.2776789090567,-0.7470273315791625,0.04291652036063943,-0.7574372795117295,0
0x06355362cd8ab65f6349535d0aac83dd911c3d54,13021853,13251022,2021-08-14,2021-09-18,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,19847.649790462197,20327.90508133577,20292.95243506976,480.25529087357427,445.3026446075637,0.024197086100559942,0.02243603899246319,0.0017224032026806652,0
0x0662596a2a8f7fe81e13f5b68f77e851a1251f73,12738276,12738890,2021-07-01,2021-07-01,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5858.726031358696,4944.464858640629,5847.582730278815,-914.2611727180665,-11.143301079880985,-0.15605119062139186,-0.0019020007114578703,-0.15444294049263063,0
0x0662596a2a8f7fe81e13f5b68f77e851a1251f73,12754564,12754692,2021-07-03,2021-07-03,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4385.422069952505,4425.30975772316,4425.25304160672,39.88768777065525,39.83097165421532,0.009095518546311151,0.009082585671086088,1.2816468551442876e-05,0
0x0662596a2a8f7fe81e13f5b68f77e851a1251f73,13555820,13556507,2021-11-05,2021-11-05,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,72451.3092919234,72338.60047733397,72339.62135702607,-112.70881458943768,-111.6879348973307,-0.0015556491068409446,-0.0015415585444745199,-1.4112317329786786e-05,0
0x069d6d73dcf07ec4f3f021d61f8b1a5e1ebd3301,12980557,13534603,2021-08-08,2021-11-02,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,228193.18053052283,94554.19255654735,371969.6902889392,-133638.98797397548,143776.5097584164,-0.5856397095797528,0.6300648837276933,-0.7458013514942592,0
0x069d6d73dcf07ec4f3f021d61f8b1a5e1ebd3301,13541035,13541291,2021-11-03,2021-11-03,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,89599.70276181417,89755.51278876176,89755.33974122448,155.81002694758354,155.6369794103084,0.0017389569624106727,0.001737025621882288,1.9279915576504012e-06,0
0x069d6d73dcf07ec4f3f021d61f8b1a5e1ebd3301,13541990,13546529,2021-11-03,2021-11-03,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,93174.29033251273,92398.16171806183,92395.98550789067,-776.1286144508922,-778.3048246220569,-0.00832985807223332,-0.008353214409731555,2.355308143749235e-05,0
0x070f1498fd2d106e31d2584ff6b3ce0856b64371,12886632,14454386,2021-07-24,2022-03-25,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1483.8790062334438,354.41552417483445,4299.73800976741,-1129.4634820586093,2815.8590035339666,-0.7611560493234192,1.8976338311312262,-0.9175727629521302,0
0x07471c93441e87110c2b4f753d97d7bfaba4d0dc,12983614,13434965,2021-08-08,2021-10-17,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2486.236345073058,3867.9873009908943,3941.191450909422,1381.750955917836,1454.955105836364,0.5557600984540484,0.585203859930545,-0.01857411669297015,0
0x074e644b15ba5d271d8001461c7a51b1408e30f8,13304057,14536577,2021-09-27,2022-04-07,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10338.101582686442,2861.9133161485775,10834.409147632989,-7476.188266537865,496.30756494654634,-0.7231683889679014,0.04800761155004792,-0.7358496179024379,0
0x07513635363202a01a612722af50edd17c7c7c7a,13170719,13273655,2021-09-06,2021-09-22,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,14163.68024215002,12522.053444161174,12738.38628161358,-1641.6267979888453,-1425.293960536439,-0.1159039719848723,-0.10063019894327141,-0.016982750614546696,0
0x07a07ee1b8612e9cf39935a74c55b74d23865832,13080541,13086584,2021-08-23,2021-08-24,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,826.0396933961985,822.378812845044,822.3311309215735,-3.6608805511544915,-3.708562474624955,-0.004431845806468529,-0.004489569332167909,5.798384820604704e-05,0
0x07e46baeb878de92bbcb787dbbce5d69da2da183,13261704,13752054,2021-09-20,2021-12-06,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5731.862429000061,10365.62435587541,11018.269534961553,4633.76192687535,5286.407105961493,0.8084216926475889,0.922284365935789,-0.05923300178991493,0
