account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x01e060498c74141ec7454c6b8cc670dd1a99a2dc,12453089,12466463,2021-05-17,2021-05-19,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7533.930121062115,8206.721213236026,8215.992688894037,672.7910921739103,682.062567831922,0.08930147763025201,0.09053210699753166,-0.0011284668827108873,7.892381358614297
0x01e060498c74141ec7454c6b8cc670dd1a99a2dc,12518144,12677018,2021-05-27,2021-06-21,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3344.7278043271585,1022.0318293755861,3048.630914684355,-2322.6959749515727,-296.0968896428035,-0.6944349767256524,-0.08852645326167813,-0.6647571129542902,0
0x0285c10aa06ac166f2576ab2d3473fc42cefb933,11756528,11756546,2021-01-30,2021-01-30,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2411.631050412561,2411.6310504125604,2411.6310504125604,-4.547473508864641e-13,-4.547473508864641e-13,-1.885642295112554e-16,-1.885642295112554e-16,0.0,0
0x03a82ee7997c87e7c6bd227fd3af77a3f175fb91,13058245,13212465,2021-08-19,2021-09-12,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,566511.5759322109,523747.9420384847,469113.8286647318,-42763.63389372622,-97397.74726747908,-0.07548589598254447,-0.1719254317216878,0.11646238084530863,6004.080314142956
0x078c227abb3da09cc26d04d94afcee1f30314305,14742283,15032913,2022-05-09,2022-06-27,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,816.4215443599227,311.31041357958276,219.52579101376048,-505.1111307803399,-596.8957533461622,-0.6186891248397283,-0.7311122023539084,0.41810405120038474,0.00011458666782840819
0x090a0fb9248aea544fbdc5b4c16a4e275d5a5bf7,14464051,14880121,2022-03-26,2022-05-31,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,133945.95339383095,28026.479436020818,38192.62478692659,-105919.47395781013,-95753.32860690435,-0.7907627761354109,-0.7148654078811043,-0.2661808505600711,0
0x0946a5669fc9ab7670e32197b54c1cd420669444,14408255,14545910,2022-03-18,2022-04-08,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,22846.18482180105,32452.216308376992,34124.05645925682,9606.031486575943,11277.87163745577,0.42046545458256795,0.49364354378739955,-0.048993007407427014,0
0x0c470f23b09847fc99e20b63aa9b0c3db13bacf7,14433588,14507786,2022-03-22,2022-04-02,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7563.558708618249,3084.5942885508316,10137.239725978276,-4478.964420067417,2573.681017360027,-0.5921768565059051,0.34027382036811094,-0.6957165488899238,70.36175871620523
0x0ea4a285e1353f490ec7f473ab3174cac71cf79a,13750471,13995211,2021-12-06,2022-01-13,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,601042.8616692219,463325.2211537849,457555.88549414795,-137717.640515437,-143486.97617507394,-0.22913114737435908,-0.23873002297470194,0.012609029503371408,19928.58198609729
0x0ea4a285e1353f490ec7f473ab3174cac71cf79a,14262559,14356966,2022-02-23,2022-03-10,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,238063.76621743236,289335.6887533829,358510.3817931005,51271.92253595052,120446.61557566814,0.2153705427356887,0.5059426618734572,-0.19295032041677093,3882.7282328954752
