market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,0x0403d6d288db8908b5ff21b60d347c6e450eb828,10831651,10871574,2020-09-10,2020-09-16,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2906.180699580538,2675.049105662188,2688.403355392339,-231.13159391835006,-217.7773441881991,-0.07953104703768431,-0.07493592680580112,-0.004967353467761939,24.96123644466814
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,0x07e7c8c73f2ef715046e3194dbabe25cf0f7a68f,10898487,11080637,2020-09-20,2020-10-18,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1113.7300147845635,965.9553258152864,978.991630383011,-147.77468896927712,-134.73838440155248,-0.13268448098515348,-0.12097939591545968,-0.013316053133798954,0.0007219956342221735
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,0x0867b3be4f0087f0f0268a04aa68185aaae74d24,11211493,11271893,2020-11-07,2020-11-17,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1271.405145156512,1338.7984811013102,1337.8706501952315,67.39333594479831,66.46550503871958,0.053006971225133814,0.052277203133811116,0.0006935131628332899,6.708076258332118
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,0x09f5c51803293d76f7d114777328666d2497d600,10829876,10893248,2020-09-09,2020-09-19,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1790.320402083399,1602.412993148855,1614.6405956830154,-187.9074089345438,-175.67980640038354,-0.10495741919484113,-0.09812757883781285,-0.00757295621505653,32.63023860754927
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,0x0a0be1f6f9cbf28b2b2380486fa9c8e532f8783b,10829730,10835273,2020-09-09,2020-09-10,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,357058.83046554186,254114.60770509596,356091.6667118646,-102944.2227604459,-967.163753677276,-0.2883116561666456,-0.0027086957978780827,-0.28637867307713344,128.45860611794953
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,0x0a0be1f6f9cbf28b2b2380486fa9c8e532f8783b,10958662,10965733,2020-09-29,2020-09-30,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,82117.32322489381,85386.64432304306,85377.28193695832,3269.321098149245,3259.958712064501,0.03981280647928076,0.03969879416474022,0.00010965898506416335,59.533297133185506
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,0x0a7e32c81c719da8ee7c61bb3dc51faedb084ba4,10832925,10851227,2020-09-10,2020-09-13,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8118.905167829256,8105.926246308211,8108.604464224823,-12.978921521044867,-10.300703604433693,-0.0015986048922548297,-0.0012687306221101954,-0.00033029332339830814,47.84234861113502
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,0x0ab34b4a78084b22e111753f9a9532ef78e2cdc2,10936703,11088218,2020-09-26,2020-10-19,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6808.911369401025,2777.780896063407,6136.449929535183,-4031.130473337618,-672.4614398658414,-0.5920374424982762,-0.09876196110994427,-0.5473309604151182,126.18557660067299
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,0x0e5637c87b67cc92297de8461366b5c37d193bc1,10832022,10964375,2020-09-10,2020-09-30,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15796.547820817983,12794.646970676125,12916.716853985052,-3001.9008501418575,-2879.830966832931,-0.19003524594061666,-0.18230761553088545,-0.009450534891245642,60.542912386365295
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,0x0eed4320fdbf4c48020278ecc0774113e8c725c3,10829293,10848807,2020-09-09,2020-09-12,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,20568.451225668956,20674.645014949136,20688.773435777883,106.19378928017977,120.32221010892681,0.00516294533385442,0.005849842984714739,-0.000682902776841967,146.92293814197626
