market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x795065dcc9f64b5614c407a6efdc400da6221fb0,0x0000000000000d9054f605ca65a2647c2b521422,10838865,10853724,2020-09-11,2020-09-13,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,863.3752662739539,899.1238730763584,897.5891817351687,35.74860680240454,34.21391546121481,0.041405641554551204,0.03962809313367397,0.0017097926004666735,32.935573323457234
0x795065dcc9f64b5614c407a6efdc400da6221fb0,0x00000000009a41862f3b2b0c688b7c0d1940511e,11591102,11960605,2021-01-05,2021-03-02,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,70307.26122626427,203606.0100154815,235941.18021050622,133298.74878921724,165633.91898424196,1.8959456884578747,2.3558579312483174,-0.1370475902772689,1398.2727933084273
0x795065dcc9f64b5614c407a6efdc400da6221fb0,0x000000dcf1190af44f7149b85299f18ce7221024,10831148,10834305,2020-09-10,2020-09-10,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,229159.40934890095,216223.92200876249,216728.29440989904,-12935.487340138468,-12431.114939001913,-0.056447550536508254,-0.05424658308520611,-0.0023272106787433776,781.4446554794309
0x795065dcc9f64b5614c407a6efdc400da6221fb0,0x000000dcf1190af44f7149b85299f18ce7221024,10838378,10841591,2020-09-11,2020-09-11,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,212275.6362228338,233292.97659652255,233606.07598897588,21017.340373688756,21330.43976614208,0.09900966850301207,0.10048463472157826,-0.0013402878804749088,2060.4474117730447
0x795065dcc9f64b5614c407a6efdc400da6221fb0,0x000000dcf1190af44f7149b85299f18ce7221024,10865139,10865655,2020-09-15,2020-09-15,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,186211.77828403725,180913.7414359993,180934.95422699547,-5298.03684803794,-5276.824057041784,-0.028451674200525624,-0.028337756642830645,-0.00011723987267569914,87.28399221271754
0x795065dcc9f64b5614c407a6efdc400da6221fb0,0x000aba3fffb94d769c3aa1b3eacdc237de18802e,12389706,12445976,2021-05-07,2021-05-16,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,19942.899937817816,21908.43165616133,21865.72495733142,1965.5317183435145,1922.8250195136025,0.09855796922574271,0.09641652044130955,0.0019531343650050262,103.09808069951585
0x795065dcc9f64b5614c407a6efdc400da6221fb0,0x000f75539c2bc3941e4a29acb1d9a8254eff427f,11959985,12001385,2021-03-02,2021-03-09,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,118462.33384081382,133084.61733966556,121213.59729944114,14622.283498851742,2751.26345862732,0.1234340319387995,0.023224795337262107,0.0979347227101819,630.1424491307075
0x795065dcc9f64b5614c407a6efdc400da6221fb0,0x000f7f22bfc28d940d4b68e13213ab17cf107790,10833850,10849367,2020-09-10,2020-09-12,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,76262.60915978307,279119.28177205485,79543.24889379684,202856.6726122718,3280.6397340137773,2.6599755089319426,0.04301766973564047,2.5090254126371483,5876.546455028548
0x795065dcc9f64b5614c407a6efdc400da6221fb0,0x000f7f22bfc28d940d4b68e13213ab17cf107790,10959234,10959921,2020-09-29,2020-09-30,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,522997.08182143595,522016.738902981,522014.0788020408,-980.3429184549605,-983.0030193951679,-0.0018744711061115893,-0.0018795573695586877,5.095841373305669e-06,61.112673021917836
0x795065dcc9f64b5614c407a6efdc400da6221fb0,0x0011498ade68342362e657a33044e40c4ce9e1f6,13706574,13706871,2021-11-29,2021-11-29,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4326.547797304602,4303.888034043728,4303.859223686554,-22.65976326087366,-22.688573618047485,-0.005237377309223413,-0.005244036280422523,6.694075172176907e-06,0
