market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x0013d355ab0b7fee64fcd3a53a9227b023536732,13673122,14301532,2021-11-23,2022-03-01,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,39030.72646361118,39694.369947874235,39105.86824289094,663.6434842630551,75.14177927975834,0.017003103564617945,0.0019251955084621326,0.015048935912330258,0
0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x0013d355ab0b7fee64fcd3a53a9227b023536732,14334281,14442750,2022-03-06,2022-03-23,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,64459.07927632416,66836.64110626582,66686.69457746937,2377.561829941653,2227.6153011452116,0.036884824552790844,0.034558596339793135,0.002248522433845475,0
0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x0013d355ab0b7fee64fcd3a53a9227b023536732,14742533,14921002,2022-05-09,2022-06-07,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,42076.91203922298,23779.435290298483,25060.62384284447,-18297.4767489245,-17016.28819637851,-0.43485787958650757,-0.4044091491437484,-0.0511235698113638,0
0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x00530d56d05ddb465dce9246f9494b6bd7875343,13338866,13887896,2021-10-02,2021-12-27,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,43894.93785235398,57655.646291225305,68179.02882595193,13760.708438871327,24284.09097359795,0.31349192212453203,0.5532321529940532,-0.15434925835612612,0
0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x00daef5fdac56c77347f93c46e614fe50adbc328,13306690,13700232,2021-09-27,2021-11-28,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,324681.19030747126,366588.4055783638,352631.5860432277,41907.21527089254,27950.395735756436,0.12907189120258752,0.0860856636298751,0.0395790396763414,0
0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x00daef5fdac56c77347f93c46e614fe50adbc328,13713455,14255842,2021-11-30,2022-02-22,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,402496.636405519,292063.76483470446,284575.5025998709,-110432.87157081452,-117921.13380564807,-0.27436967562519554,-0.29297420932194196,0.026313797802063353,0
0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x00daef5fdac56c77347f93c46e614fe50adbc328,14773322,14951004,2022-05-14,2022-06-12,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,688783.5657893367,401189.9214773603,407700.172897778,-287593.6443119764,-281083.3928915587,-0.4175384817470172,-0.4080866717100617,-0.015968233160524044,0
0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x00ed58aaccf9b89cd5abe7c3eb77747947f74911,13503444,13598301,2021-10-28,2021-11-12,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17440.39510963177,17028.753208578222,17108.05677778196,-411.64190105354646,-332.33833184980904,-0.023602785284733023,-0.019055665296611846,-0.004635451602354282,0
0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x0122a528c9dcc2cec9c8cbcd7da72beb828d0527,13384557,13543751,2021-10-09,2021-11-03,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9452.866568984857,10526.451681402092,10419.616566632798,1073.585112417235,966.7499976479412,0.11357243906728785,0.10227056423496735,0.01025326739099178,0
0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x01aa66f23e42842d771cf46e6293af4ed04c90bd,13145076,13168352,2021-09-02,2021-09-06,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,79626.86807358138,65725.24375698823,70425.23987627646,-13901.624316593152,-9201.628197304919,-0.17458459252405828,-0.11555933844844812,-0.06673738176178338,0
