market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD,position_trade_counter
0x055475920a8c93cffb64d039a8205f7acc7722d3,0x0c2bd6bdd923eeff91a659da1207d2d5c6bb7662,14023184,14159226,2022-01-17,2022-02-07,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,0x6b175474e89094c44da98b954eedeac495271d0f,2758.8805785211543,2310.0369314577715,2505.5731425469585,-448.84364706338283,-253.30743597419587,-0.16269049503548172,-0.09181529564790968,-0.07804051207637906,0.3095748072117881,4
0x055475920a8c93cffb64d039a8205f7acc7722d3,0x14889749728f4993352d8dbffa0bc4ab5e90fce6,14016229,14113537,2022-01-16,2022-01-31,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,0x6b175474e89094c44da98b954eedeac495271d0f,3822.933183172133,2324.8748479525675,2638.36988331484,-1498.0583352195654,-1184.5632998572928,-0.3918609777993897,-0.3098571811486343,-0.11882148797438452,531.1804712448385,4
0x055475920a8c93cffb64d039a8205f7acc7722d3,0x1abb3cc54206124e7c9a939217eb7be66a5bea5e,13993711,14756471,2022-01-13,2022-05-11,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,0x6b175474e89094c44da98b954eedeac495271d0f,8533.156724029688,3001.224184721978,6317.2399094104385,-5531.932539307711,-2215.9168146192496,-0.6482867616540526,-0.25968312621976636,-0.5249152750632088,549.5070057504926,10
0x055475920a8c93cffb64d039a8205f7acc7722d3,0x1ad98cc111ab8e0d86c8df71049ee29f617dcbaf,14169572,14203711,2022-02-09,2022-02-14,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,0x6b175474e89094c44da98b954eedeac495271d0f,5912.289226725399,5332.709019576958,5335.119672932069,-579.5802071484413,-577.1695537933301,-0.09802974531904787,-0.09762200928607195,-0.0004518461633282096,54.82968954395945,4
0x055475920a8c93cffb64d039a8205f7acc7722d3,0x1ad98cc111ab8e0d86c8df71049ee29f617dcbaf,14204885,14227772,2022-02-14,2022-02-18,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,0x6b175474e89094c44da98b954eedeac495271d0f,4955.773313449159,4434.5315570688945,4433.543814501352,-521.2417563802646,-522.2294989478069,-0.10517869228717537,-0.1053780037780504,0.0002227884980659248,122.83723416032811,8
0x055475920a8c93cffb64d039a8205f7acc7722d3,0x1bf555e99b9056e75f5752ebf6593c4929bf5d50,14453568,14487895,2022-03-25,2022-03-30,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,0x6b175474e89094c44da98b954eedeac495271d0f,3026.907917825095,3264.065304429965,3253.891192846505,237.15738660487023,226.98327502141,0.07834971959611954,0.07498849690297248,0.003126752242308355,0,2
0x055475920a8c93cffb64d039a8205f7acc7722d3,0x21f81deb90dc7f178acff652caaedcde507d7439,14642204,14673499,2022-04-23,2022-04-28,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,0x6b175474e89094c44da98b954eedeac495271d0f,8548.57443553669,8033.820986182129,8020.649802789131,-514.7534493545609,-527.9246327475585,-0.06021512162480738,-0.06175586780328652,0.0016421591413226138,37.31199246597863,4
0x055475920a8c93cffb64d039a8205f7acc7722d3,0x23dd6fc558a1989b1bd2be030d635f2308664c48,14033661,14383127,2022-01-19,2022-03-14,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,0x6b175474e89094c44da98b954eedeac495271d0f,1853.7977825063153,986.1738768094842,1171.5595191131938,-867.6239056968311,-682.2382633931215,-0.4680251070986894,-0.36802194383399384,-0.15823834750114643,0.5452450353605519,6
0x055475920a8c93cffb64d039a8205f7acc7722d3,0x23dd6fc558a1989b1bd2be030d635f2308664c48,14408480,14543518,2022-03-18,2022-04-08,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,0x6b175474e89094c44da98b954eedeac495271d0f,10804.629231377916,11866.66520268632,11881.399332417754,1062.0359713084035,1076.7701010398378,0.09829453177570648,0.09965821852662658,-0.0012401005402817283,243.27732736190518,6
0x055475920a8c93cffb64d039a8205f7acc7722d3,0x23dd6fc558a1989b1bd2be030d635f2308664c48,14636307,15091458,2022-04-22,2022-07-06,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,0x6b175474e89094c44da98b954eedeac495271d0f,8977.61810356801,5290.591285850719,5975.021573146857,-3687.02681771729,-3002.5965304211522,-0.4106909845331849,-0.3344535817610485,-0.11454858847240446,0.02055456772939052,4
