market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x0463a06fbc8bf28b3f120cd1bfc59483f099d332,0x1bbadc48b976a38537729ecfb5a221c3255be14f,13097803,13113578,2021-08-26,2021-08-28,0x269616d549d7e8eaa82dfb17028d0b212d11232a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16134.209167554025,18750.22897594777,18946.66658722839,2616.0198083937466,2812.4574196743633,0.16214118592528076,0.17431640996264194,-0.010367924636042932,0
0x0463a06fbc8bf28b3f120cd1bfc59483f099d332,0x278190a9e040f9e65e9aaaf28e836dd5e8a126d5,13913081,14008545,2021-12-31,2022-01-15,0x269616d549d7e8eaa82dfb17028d0b212d11232a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5172.861181870669,5081.500080121263,5072.776618138394,-91.36110174940586,-100.08456373227455,-0.017661618693654336,-0.019348008812423,0.0017196621573433324,0
0x0463a06fbc8bf28b3f120cd1bfc59483f099d332,0x3ec10509a60b1841da71567dc20e9ccfda123b05,12966639,13012275,2021-08-05,2021-08-12,0x269616d549d7e8eaa82dfb17028d0b212d11232a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2461.2548904135847,2668.805090633297,2671.353809062308,207.55020021971222,210.09891864872316,0.08432698337263064,0.08536251952897837,-0.0009540924232367324,0
0x0463a06fbc8bf28b3f120cd1bfc59483f099d332,0x4bb4c1b0745ef7b4642feeccd0740dec417ca0a0,13375196,14287167,2021-10-08,2022-02-27,0x269616d549d7e8eaa82dfb17028d0b212d11232a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,647.5463623477476,500.00042769861784,515.2636574745242,-147.54593464912978,-132.28270487322345,-0.22785385453203139,-0.20428298661677066,-0.029622174113183936,148.6856036605025
0x0463a06fbc8bf28b3f120cd1bfc59483f099d332,0x4e65175f05b4140a0747c29cce997cd4bb7190d4,13897061,14831122,2021-12-29,2022-05-23,0x269616d549d7e8eaa82dfb17028d0b212d11232a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,114344.4327980628,43859.568098865864,87654.97428356108,-70484.86469919694,-26689.45851450172,-0.6164258545378966,-0.2334128375242934,-0.49963400871031527,0
0x0463a06fbc8bf28b3f120cd1bfc59483f099d332,0x58d797263f86ae8885c8757efe1a59bd179357c9,12944952,12965885,2021-08-02,2021-08-05,0x269616d549d7e8eaa82dfb17028d0b212d11232a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16135.718346806578,18497.804924554825,18648.176589114297,2362.086577748247,2512.458242307719,0.14638868422091214,0.15570786427397948,-0.008063612216502194,0
0x0463a06fbc8bf28b3f120cd1bfc59483f099d332,0x5b00f3d1644ff3106248b2c50505a67abf31efff,13405294,13567249,2021-10-12,2021-11-07,0x269616d549d7e8eaa82dfb17028d0b212d11232a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,25247.35245654486,23758.926754586544,23769.70451733532,-1488.4257019583165,-1477.647939209539,-0.05895373404083296,-0.058526847191317635,-0.0004534243469840926,199.31757943452448
0x0463a06fbc8bf28b3f120cd1bfc59483f099d332,0x6a9ee69b6781c18164ee9f7c58f1763bcffc7c51,12958659,14423821,2021-08-04,2022-03-20,0x269616d549d7e8eaa82dfb17028d0b212d11232a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5625.654876952398,10154.035583245324,10569.045218493138,4528.380706292926,4943.39034154074,0.8049517443462687,0.8787226464590265,-0.039266520926758156,0
0x0463a06fbc8bf28b3f120cd1bfc59483f099d332,0x7b67fd5a559c8417cbbcbde752aa7acd1d12cf42,13803019,15121207,2021-12-14,2022-07-11,0x269616d549d7e8eaa82dfb17028d0b212d11232a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1019.3894872432845,837.6894746552114,830.6183381388895,-181.70001258807315,-188.77114910439502,-0.17824395372120327,-0.18518059237091528,0.008513099448497237,0
0x0463a06fbc8bf28b3f120cd1bfc59483f099d332,0x81359965fcbcec95d61b01bef8f84469dbae123f,13376151,13432571,2021-10-08,2021-10-17,0x269616d549d7e8eaa82dfb17028d0b212d11232a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,22698.56050129793,22108.144767917627,22105.573170634074,-590.4157333803014,-592.9873306638547,-0.02601115314544025,-0.026124446553778026,0.00011633253133510632,2.077448846724061
