market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD,position_trade_counter
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x009980d23034de516063bbb332e294f4b418a156,12572355,14771025,2021-06-05,2022-05-14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1604.8387712120423,1607.9162927594512,1453.884686048996,3.077521547408878,-150.95408516304633,0.0019176515439520466,-0.09406183840451425,0.1059448580678319,0,2
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x00a1b46319be9163b8ae30dbe506235608a563dc,10832253,10854151,2020-09-10,2020-09-13,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,59440.958494739396,59055.57834570222,58973.306771591815,-385.38014903717703,-467.6517231475809,-0.006483410745660901,-0.007867499700378632,0.0013950646252388062,1026.915580018116,4
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x00e104aae179d76d324e36546b83bae83e5fe0a9,13236486,13254558,2021-09-16,2021-09-19,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1727.8079782108114,1709.718045163323,1709.2779452963514,-18.08993304748833,-18.53003291445998,-0.010469874705764996,-0.010724590433740383,0.00025747706403322625,0,2
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x017bb577836308f4632ba1ce2047516115866cba,10845040,10986758,2020-09-12,2020-10-04,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,23737.404404871806,24358.51935377696,22743.262460577687,621.1149489051531,-994.1419442941187,0.02616608531881763,-0.04188081929000138,0.07102133636276226,210.987286400787,10
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x01b05506c04e6bdefdb5bdab2ae41136ecb46068,12391219,12593594,2021-05-08,2021-06-08,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,687.8003748369965,591.9739876308668,574.92531932932,-95.82638720612977,-112.8750555076765,-0.13932296449945944,-0.16411019772187102,0.029653709322516687,0,2
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x01d668b255673e6a729824623a13ad19cd6e0e98,11275121,11337616,2020-11-17,2020-11-27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,98202.05366747077,98358.15900732852,98195.81840572844,156.10533985774964,-6.235261742331204,0.0015896341677980532,-6.349420922952268e-05,0.0016532333477716644,241.42290206229322,4
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x01d668b255673e6a729824623a13ad19cd6e0e98,11347085,11350434,2020-11-28,2020-11-29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,103550.66210684876,108493.84556821037,108500.82027920446,4943.183461361608,4950.158172355703,0.04773686001409613,0.04780421555632239,-6.428256464924887e-05,19.743014002318965,4
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x01f38b213286e957931b8ca17914e5913611c9e7,10842237,10850395,2020-09-11,2020-09-13,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,77696.23836782896,79274.92628011663,79279.95636197495,1578.6879122876708,1583.7179941459908,0.020318717423794163,0.020383457776274375,-6.344708157196494e-05,253.70792454956995,7
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x020ef786f8c4d19ec3f949fd933ccd1b264c9f9a,12076180,12471099,2021-03-20,2021-05-20,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,74074.40308054679,81404.552461309,82148.29931946665,7330.149380762203,8073.896238919857,0.09895657711600549,0.10899711510520697,-0.009053709745898643,1860.158537431522,4
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x020fe455d61d20f1f7eab9c3f9540a3ab8a35482,12490350,13010243,2021-05-23,2021-08-12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,5975.056369400731,7494.88336904177,7379.331877319,1519.826999641039,1404.2755079182698,0.2543619517004608,0.23502297235383435,0.015658801317491425,51.79434902304747,4
