market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD,position_trade_counter
0xdab6d56915d36060c8d6cf29a7a84910da614603,0x00b6d99605c4c33e0e6411af6be8394015048ee5,13950979,13966404,2022-01-06,2022-01-08,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,59160.49593008087,46627.64329154985,46053.01717073539,-12532.852638531018,-13107.478759345482,-0.21184495568365472,-0.22155795946735507,0.012477491294090785,0,2
0xdab6d56915d36060c8d6cf29a7a84910da614603,0x0e36cc63ca9a57c5b84979faeb9094dc7cdd14a5,14436855,14499691,2022-03-22,2022-04-01,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6098.430690063247,5428.199683992078,5446.566330607579,-670.2310060711698,-651.8643594556679,-0.10990220929512913,-0.10689050881857401,-0.003372151462158545,0,2
0xdab6d56915d36060c8d6cf29a7a84910da614603,0x11df26e28b1dd2fa8ad11836a23b995199b51c07,14916100,15018149,2022-06-06,2022-06-24,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,739.83691707508,841.0413294024469,825.3955786567285,101.20441232736687,85.5586615816485,0.1367928660919964,0.1156452991287617,0.018955457419799485,0,2
0xdab6d56915d36060c8d6cf29a7a84910da614603,0x1f0908057037df5adc254e9d9406960447347751,13983287,14374863,2022-01-11,2022-03-13,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,313.718957893969,467.5450536132514,327.76070598743496,153.82609571928242,14.04174809346597,0.4903308896342589,0.04475900400705721,0.4264829342635576,0,2
0xdab6d56915d36060c8d6cf29a7a84910da614603,0x20850ea2aca5af96a86d7f32ae3dc099aa094e4f,13913566,13925962,2021-12-31,2022-01-02,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10016.40321106945,9795.804822337834,9619.997893688302,-220.59838873161607,-396.40531738114805,-0.022023712912018725,-0.039575615021474754,0.018275152509636124,0,2
0xdab6d56915d36060c8d6cf29a7a84910da614603,0x2304dab8461f2023346d0722de4a4c53bd938580,14204957,14268247,2022-02-14,2022-02-24,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,13214.873894554496,12434.174187892619,12172.139211526162,-780.6997066618769,-1042.7346830283332,-0.059077348213181426,-0.07890613950224806,0.02152743834200709,0,2
0xdab6d56915d36060c8d6cf29a7a84910da614603,0x2d505e0d3fb19a3cadc15023655e5479d8fe5a2f,13981263,14003651,2022-01-11,2022-01-14,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2014.2554982389124,2313.8132432087623,2281.8860393664745,299.55774496984986,267.6305411275621,0.1487188418905927,0.13286821923115247,0.013991585596952865,0,2
0xdab6d56915d36060c8d6cf29a7a84910da614603,0x35ab499c51f7676d0e8fd2fd4563ea7dc7a27ddf,13895754,13937439,2021-12-28,2022-01-04,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,21525.949696444884,22836.29344453534,21530.836113068355,1310.343748090454,4.886416623470723,0.06087274970761748,0.00022700120981318368,0.06063198496386413,0,5
0xdab6d56915d36060c8d6cf29a7a84910da614603,0x37cf4ced81507edfcccd15e35af0b024ab29f14d,14021051,14215299,2022-01-17,2022-02-16,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,913.1173290972381,794.4442810205028,658.9930188734941,-118.67304807673531,-254.12431022374403,-0.12996473103195022,-0.2783041150637086,0.20554278765889492,0,2
0xdab6d56915d36060c8d6cf29a7a84910da614603,0x3fbb61bedaea1c12430e6ee6d5ec62ab23a4678b,14365788,14487959,2022-03-11,2022-03-30,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5101.443847158628,4473.551343062976,4419.916568433203,-627.8925040956519,-681.5272787254253,-0.12308133205178212,-0.13359497803842696,0.012134793451267816,0,3
