market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD,position_trade_counter
0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b,0x000006eee6e39015cb523aebdd4d0b1855aba682,11712405,12479831,2021-01-23,2021-05-21,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10003.112058364219,14715.492797895084,14423.014337730165,4712.380739530865,4419.902279365946,0.47109146753889986,0.44185272079104554,0.020278594565340216,56.089323795393,4
0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b,0x0022ec3dd352bf214a9d936081f10ffac66455e1,13962387,14379862,2022-01-08,2022-03-13,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,23581.96289678012,20233.804258331023,19399.618859320944,-3348.1586384490984,-4182.344037459177,-0.14197964152111595,-0.17735351614984662,0.043000092169814846,5.716256611948434,4
0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b,0x01d48e1a2e3590637163ec37e9f1563d8e7d7e5d,11716762,11723005,2021-01-24,2021-01-25,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,22635.58547152992,21842.248923129308,21851.261130200844,-793.3365484006135,-784.3243413290766,-0.03504820095766635,-0.03465005764112293,-0.00041243418482062423,32.553109410239145,4
0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b,0x05a17af8e705761007e63a4863f54c06139632dd,13864099,14786611,2021-12-23,2022-05-16,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,126137.1763275656,39493.37231414743,38869.0967363885,-86643.80401341816,-87268.0795911771,-0.686901407943467,-0.6918505878437508,0.016060974660481342,733.9360760220244,4
0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b,0x05c31f9623a5b691f18e60e68f23c64cd708badb,11525490,13858223,2020-12-25,2021-12-23,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,388475.18906305986,698625.0689432505,694604.4204189043,310149.8798801906,306129.2313558444,0.7983775762571159,0.7880277556313937,0.005788400427859923,0.5900574626726018,6
0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b,0x0723c74793e6a30ee70de84f2abfa53b954f3b20,11683170,11724405,2021-01-19,2021-01-25,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,187801.91190496125,181743.81694758876,181349.13206005632,-6058.094957372494,-6452.77984490493,-0.03225789820733158,-0.03435950028118145,0.0021763814529960385,20.565944074923664,4
0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b,0x07ff80106b61a2e9a58c2e1205860a377cc6490d,11568508,11575093,2021-01-01,2021-01-02,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11224.661576483348,10754.518267572033,10752.795583256302,-470.1433089113143,-471.8659932270457,-0.04188485378448343,-0.042038326947481996,0.0001602080410059929,19.892163052784547,8
0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b,0x080b195587d8c5e7c6b49a67fa15ccc54fe15d7d,14379005,14766422,2022-03-13,2022-05-13,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,96291.77109681288,38461.90634195642,45634.963683438385,-57829.86475485646,-50656.807413374496,-0.6005691254418162,-0.5260761832124112,-0.1571833691211017,1540.6278930630692,8
0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b,0x09a3fb82717577e4f2b4945473beb248fab35925,11571886,11747065,2021-01-02,2021-01-28,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,32451.042836848548,44362.45951286108,45128.943378717166,11911.416676012534,12677.900541868617,0.3670580552957447,0.3906777543516324,-0.01698430781824061,373.38184703165933,8
0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b,0x09a3fb82717577e4f2b4945473beb248fab35925,11747119,12607954,2021-01-28,2021-06-10,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,66901.28858217719,80181.30055128346,73468.26876546268,13280.011969106272,6566.980183285486,0.19850158719729244,0.09815924808711322,0.0913732132065234,788.7294370221939,9
