market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x0000021e9fb06e0a6cb1c238548d140b0dc258c7,11892707,12154961,2021-02-20,2021-04-01,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,71801.20778599998,74450.16407625805,73803.31704902729,2648.9562902580656,2002.1092630273051,0.036892921051595,0.027884061073101925,0.008764470935649981,913.1475500661617
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x000006eee6e39015cb523aebdd4d0b1855aba682,11563610,12319248,2020-12-31,2021-04-27,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,20000.0,39246.04169269648,44020.258425382155,19246.041692696483,24020.258425382155,0.9623020846348241,1.2010129212691079,-0.10845499103051269,0.3821579176510921
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x000f75539c2bc3941e4a29acb1d9a8254eff427f,12072822,12103238,2021-03-20,2021-03-24,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,99274.25774831977,96461.28688463118,96435.00295468497,-2812.9708636885916,-2839.2547936347983,-0.02833535024578113,-0.028600111026091786,0.0002725559095856253,172.88632900649776
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x002ee33092457900515a4249e3ec1cd2b2dc8c32,12473623,12544584,2021-05-20,2021-05-31,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,200885.19533200003,199792.3455108622,195147.47542176297,-1092.8498211378464,-5737.719910237065,-0.005440171035658996,-0.028562183991480403,0.02380184565063156,0
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,11581336,11653687,2021-01-03,2021-01-14,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,215951.530324,87639.1861709305,226301.8176181458,-128312.3441530695,10350.287294145819,-0.5941719605346524,0.04792875178340669,-0.6127331760153605,169.28627599035062
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,13759227,14351638,2021-12-07,2022-03-09,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,19999.912933451797,16435.004306019364,16278.213886114121,-3564.9086274324327,-3721.6990473376754,-0.1782462073357218,-0.18608576245913414,0.009631917912013085,123.62622547136775
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x0053f5690a7b853cf7ea68393c716a73c2e12e5d,13953129,14143058,2022-01-06,2022-02-05,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,29283.587455347362,27285.117726932833,26978.86249533912,-1998.4697284145295,-2304.724960008243,-0.06824538596788614,-0.07870364119568916,0.011351673245920672,66.0310452904375
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x005d64b3fedd6d53edf19142087d51c7ac6ba595,12044804,12181377,2021-03-15,2021-04-05,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,88545.12697758306,97258.07130213833,96785.17073666127,8712.944324555268,8240.04375907821,0.09840117262196847,0.09306038672421056,0.004886084943361358,0
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x008c2b6e55284a2ea09c62d50a7da4c7c151dec9,10903390,10905350,2020-09-21,2020-09-21,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1419.3206799999998,1384.4138341056428,1384.7506120202427,-34.90684589435705,-34.57006797975714,-0.024594051496774537,-0.024356770437359614,-0.00024320474147223808,0
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x00a1b46319be9163b8ae30dbe506235608a563dc,10858969,10867453,2020-09-14,2020-09-15,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,121442.26313832734,121190.81372621797,121127.27980465826,-251.44941210937395,-314.983333669079,-0.0020705264016939763,-0.0025936879429717236,0.000524521987632894,0
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x00a4481a861c428c489924e721f727f1587d0fd0,12044532,12051122,2021-03-15,2021-03-16,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18728.195843999998,16880.890420906282,18769.869485127754,-1847.305423093716,41.67364112775613,-0.09863766048161772,0.002225181831441987,-0.10063890245577885,0
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x00c67d9d6d3d13b42a87424e145826c467cccd84,12044316,12121060,2021-03-15,2021-03-27,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1999.6210900681017,1948.445706670013,1941.024913350257,-51.1753833980888,-58.59617671784463,-0.02559254033290172,-0.029303640079055678,0.003823131413057114,0
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x00d1f1b3739f11b639108eed49dd10a334c7f9de,11050582,11050641,2020-10-14,2020-10-14,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,225945.90538200003,226217.5125664002,226217.31786752347,271.6071844001708,271.4124855234404,0.0012020894290647693,0.0012012277233551605,8.606718467258021e-07,0.3845015774371664
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x00d1f1b3739f11b639108eed49dd10a334c7f9de,11064076,11070861,2020-10-16,2020-10-17,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,224989.59219999996,221493.06452619005,221488.79724796783,-3496.5276738099055,-3500.794952032127,-0.015540841865706116,-0.015559808424027748,1.9266338863379243e-05,4.923509365944017
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x00d1f1b3739f11b639108eed49dd10a334c7f9de,11129627,11140753,2020-10-26,2020-10-27,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,418539.318226,415400.4921904908,415280.26462324243,-3138.826035509177,-3259.0536027575727,-0.007499477107224357,-0.007786732239568879,0.00028950946502952777,265.50267173514163
