market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x0000000484f2217f1a64eb6d24b5cee446faeae5,11011314,11033422,2020-10-08,2020-10-11,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,30304.30989148404,31524.08841261586,31545.543764532296,1219.7785211318187,1241.2338730482552,0.040250991542117066,0.04095898825919347,-0.0006801389152327578,0
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x00778a211057c47a9f8885750bbf48226771bcdc,12015526,12637117,2021-03-11,2021-06-15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,34866.262930321755,44324.79667796002,42647.53364600522,9458.533747638263,7781.270715683466,0.2712803998105735,0.22317478449680406,0.039328488392245065,0
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x009980d23034de516063bbb332e294f4b418a156,12572355,14771025,2021-06-05,2022-05-14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1604.8387712120423,1584.6841653127608,1429.7854739968213,-20.154605899281478,-175.05329721522094,-0.012558648420526296,-0.10907843227330137,0.10833701568035642,0
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x00a1b46319be9163b8ae30dbe506235608a563dc,10832253,10854151,2020-09-10,2020-09-13,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,59397.15362076819,59055.57834570222,58973.306771591815,-341.575275065974,-423.8468491763779,-0.005750701073098935,-0.007135810781144569,0.0013950646252388062,1026.915580018116
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x00c67d9d6d3d13b42a87424e145826c467cccd84,12625619,12716443,2021-06-13,2021-06-27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,4914.327439646582,4303.33331887192,4275.32830553136,-610.9941207746624,-638.9991341152227,-0.124329143362617,-0.13002778955265887,0.006550377266776861,0
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x00d1f1b3739f11b639108eed49dd10a334c7f9de,10936433,10936533,2020-09-26,2020-09-26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,183644.06789743179,183357.42895932842,183357.29434243467,-286.63893810336594,-286.7735549971112,-0.0015608396251789547,-0.0015615726567180974,7.341780114504324e-07,3.7799710528562307
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x00d1f1b3739f11b639108eed49dd10a334c7f9de,11002461,11002535,2020-10-06,2020-10-06,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,6974.368189591843,6974.339817226501,6974.368189591843,-0.028372365341965633,0.0,-4.0680911260617075e-06,0.0,-4.0680911260617075e-06,0
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x00d1f1b3739f11b639108eed49dd10a334c7f9de,11070880,11071929,2020-10-17,2020-10-17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,226156.3756606544,225917.4375278285,225916.66163024027,-238.93813282588962,-239.71403041412123,-0.0010565173417194046,-0.0010599481430221096,3.434441632735876e-06,17.172775709913846
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x00e104aae179d76d324e36546b83bae83e5fe0a9,13236486,13254558,2021-09-16,2021-09-19,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1799.9161334811602,1731.8218196685712,1731.9795864376329,-68.09431381258901,-67.9365470435273,-0.03783193702524905,-0.03774428473627457,-9.109043218356091e-05,0
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x017bb577836308f4632ba1ce2047516115866cba,10845040,10986758,2020-09-12,2020-10-04,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,23739.8354320054,24358.51935377696,22743.262460577687,618.6839217715606,-996.5729714277113,0.0260610029729805,-0.041978933437936086,0.07102133636276226,210.987286400787
