market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0x000f75539c2bc3941e4a29acb1d9a8254eff427f,11988051,11992268,2021-03-07,2021-03-07,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,113977.50471424291,115872.07297606264,115888.78445961277,1894.5682618197316,1911.2797453698586,0.01662229987022151,0.016768920763458515,-0.0001442027684391751,88.99200135857642
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0x003dc32fe920a4aaeed12dc87e145f030aa753f3,11372177,11694096,2020-12-02,2021-01-20,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2823.031533015531,4417.900078555789,4536.214771647532,1594.8685455402583,1713.1832386320011,0.5649488951462889,0.6068594057828316,-0.02608225118247024,83.98051217528662
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0x003e39abfd1e7fcd4a383b05616f52c5faee2b4b,12252627,12634866,2021-04-16,2021-06-14,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,149555.60542380673,131311.29508109897,130883.59411576611,-18244.31034270776,-18672.011308040615,-0.12199014735026155,-0.1248499596864214,0.0032677966113503635,0.6646262373997089
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0x005b0743d8b2ed646499dc48b64b95e71b8afa43,12570698,12596424,2021-06-05,2021-06-08,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7370.59564328463,6747.087294681275,6745.111403174889,-623.5083486033545,-625.4842401097403,-0.08459402452384357,-0.08486210211241486,0.0002929368231717769,5.322287923679893
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0x00778a211057c47a9f8885750bbf48226771bcdc,10843202,10940568,2020-09-12,2020-09-26,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5115.010760990902,4723.732770706787,4669.359395820391,-391.2779902841148,-445.65136517051087,-0.07649602485065247,-0.08712618330526783,0.011644718317263481,9.70846599726911
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0x0085d428ac99c42b30cb38373b1c233846891c9a,10841614,10844985,2020-09-11,2020-09-12,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,92315.91286218795,95772.8990901388,95830.51630806197,3456.9862279508525,3514.603445874018,0.03744734922473819,0.03807148016962933,-0.0006012408170477332,561.101182259896
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0x0085d428ac99c42b30cb38373b1c233846891c9a,10897998,11554215,2020-09-20,2020-12-30,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,140567.12448793574,149256.20178620232,213952.10223771117,8689.07729826658,73384.97774977543,0.061814434419993604,0.522063590737205,-0.302384972032799,185.55957203338338
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0x0085d428ac99c42b30cb38373b1c233846891c9a,11585935,11761904,2021-01-04,2021-01-31,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,157030.84055655822,240573.0036376722,237871.50787006336,83542.16308111398,80840.66731350514,0.532011181911902,0.5148075819182063,0.011356953978214668,958.5876161303675
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0x0085d428ac99c42b30cb38373b1c233846891c9a,11765967,11991938,2021-01-31,2021-03-07,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,307108.0477388491,343626.30268482596,341096.52593368,36518.254945976834,33988.47819483088,0.11891012044409308,0.11067270442789945,0.007416600753177481,9830.661616255384
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0x0085d428ac99c42b30cb38373b1c233846891c9a,12024711,12559340,2021-03-12,2021-06-03,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,398516.84699454764,91676.20821468432,574020.8803962677,-306840.6387798633,175504.0334017201,-0.7699565052115886,0.44039300904165113,-0.8402911612703062,8420.77128899873
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0x008bf5ef7e1b1170f0f7471b93f62b5cac55316f,10841967,10887449,2020-09-11,2020-09-18,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3268.2553160485654,3305.896122134621,3287.3976058392263,37.64080608605536,19.142289790660925,0.011517094732844926,0.005857036228676473,0.005627100373418939,78.11650067688933
