market,account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x000891bf691e72195c5a2bf7c348c88ef9de1f86,12967038,13024958,2021-08-05,2021-08-14,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,110148.41425419203,202961.46626538906,220182.67205464907,92813.05201119703,110034.25780045704,0.8426181406208011,0.9989636123723802,-0.07821326550613271,3611.8148194793275
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x000e8c608473dcee93021eb1d39fb4a7d7e7d780,12940341,13731025,2021-08-01,2021-12-03,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,22027.842769308023,57962.614255070126,54037.02864642134,35934.7714857621,32009.18587711332,1.6313341193732767,1.4531239491918186,0.07264621514137898,0
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,12946015,13023529,2021-08-02,2021-08-14,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,128841.21457499111,239865.29952673253,252623.4221905406,111024.08495174142,123782.20761554947,0.861712498737123,0.9607345601628345,-0.050502532794387024,4602.424790334693
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x00641b4f7c7c9a6e6e2f692aa91744ca0ed0b3de,13295651,13650803,2021-09-25,2021-11-20,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,25645.750211937633,37198.2972599396,36207.338697454776,11552.547048001969,10561.588485517143,0.4504663327269119,0.4118260685780568,0.027368997505317513,0
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x00f282c40b92bed05f1776cadf1c8b96b9fbaee3,12949791,13237045,2021-08-03,2021-09-16,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10347.13347798914,20648.070828237753,20333.06043241395,10300.937350248612,9985.926954424809,0.9955353694973783,0.9650911506715647,0.015492522479381876,0.029176246654678457
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x01ae605c8dc13248151a3f7e181b4b5b5cd399db,12938648,12942189,2021-08-01,2021-08-02,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8465.726612671215,8193.423501055044,8201.303675806506,-272.303111616171,-264.4229368647084,-0.03216535615603236,-0.031234523504329686,-0.0009608441612409495,12.725957511179848
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x0202ed9ff0d505f9b064a610199a001cef9977bd,13008579,13013182,2021-08-12,2021-08-13,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7495.681753519059,6757.4594439790335,7417.480212950751,-738.2223095400259,-78.2015405683087,-0.09848634638116094,-0.01043287897483038,-0.08898180379629946,0.8211360714923654
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x0202ed9ff0d505f9b064a610199a001cef9977bd,13019150,13020398,2021-08-13,2021-08-14,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1664.840675978222,2196.2756111482267,1664.840675978222,531.4349351700048,0.0,0.31921068654677476,0.0,0.31921068654677476,0.6982642594237559
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x0249bea8bd7820ce8c8f122dc48ca1a2adda1ca6,12956071,13616759,2021-08-04,2021-11-14,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9095.243933837333,28087.021662355168,23997.384442255,18991.777728517834,14902.140508417666,2.0880998757891587,1.6384541873557394,0.1704201234905862,1107.101903892134
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x0249bea8bd7820ce8c8f122dc48ca1a2adda1ca6,13617407,13677307,2021-11-15,2021-11-24,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30059.892280311367,17456.71464746494,35441.59189623967,-12603.177632846426,5381.699615928301,-0.4192688887678169,0.17903256491219055,-0.5074511692767082,0
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x0267940d1897b150ac9601ef00d0e38a5fda3011,12933685,13015610,2021-07-31,2021-08-13,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,882.9444097293756,1166.9201209449034,1147.9931148339026,283.9757112155278,265.048705104527,0.3216235451363999,0.3001873075857234,0.01648703800260964,33.04368962801617
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x02a168020c8f00e13883fdb5584d7d2aca7d11e2,13723556,13857900,2021-12-01,2021-12-23,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3004.115680503075,2232.3847233704737,2247.0091436903563,-771.7309571326014,-757.1065368127188,-0.2568912249755195,-0.2520230967556923,-0.0065083937735403614,0
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x0320e2787d5c62a4a81f219dfb3c5abdf6265362,12929156,12937505,2021-07-30,2021-08-01,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,206891.55338197353,213390.9277718655,213130.93207777085,6499.374389891978,6239.378695797321,0.03141440181413549,0.030157725599739046,0.0012198871912209627,0.1667260516793688
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x0398b107763c8e7fae5183241d383440ea3623da,13063711,14899288,2021-08-20,2022-06-03,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,96252.2153788047,21900.736896135502,31789.6391311393,-74351.47848266919,-64462.5762476654,-0.7724651135566675,-0.6697256369006176,-0.31107312021410144,0
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x03dc54da70469dc3d53d4af0ae43236b6ff4f2b7,13096378,13413555,2021-08-25,2021-10-14,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3381.3701240900923,3234.662588914827,3148.6839852339435,-146.7075351752651,-232.68613885614877,-0.043387008754252616,-0.06881415826040732,0.027306202872085166,0.0020608800682061588
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x041de2363ed1d8098944116620f427520b260ccc,13026870,13592619,2021-08-15,2021-11-11,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,12630.01052602664,7152.381610265867,14395.201612497875,-5477.6289157607725,1765.1910864712354,-0.43369947352561844,0.13976164808680955,-0.503141268681073,100.7713849554568
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x041de2363ed1d8098944116620f427520b260ccc,13607289,13648648,2021-11-13,2021-11-20,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3735.893732995546,12755.582650818958,4078.4370036413757,9019.688917823412,342.5432706458296,2.4143323023781966,0.09168977897322808,2.12756642788164,0
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x04a0e8670d81dc02d07ef5f8a9384d641b154c87,13148009,13341079,2021-09-02,2021-10-02,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16651.131805004592,15399.027399096336,14927.817826293427,-1252.104405908256,-1723.313978711165,-0.07519635425214333,-0.10349530583820213,0.0315658710660934,0.15814548207881726
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x04ad2133d0bf5f703348f0060a4a95c70264b2ec,12965990,12997069,2021-08-05,2021-08-10,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1495.1366652472998,1497.115091799646,1503.306537907522,1.9784265523462636,8.169872660222154,0.0013232412784278996,0.005464298247860061,-0.00411855197310182,9.49829830402046
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,12928576,13334229,2021-07-30,2021-10-01,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,67439.37948936305,140097.16300479276,112858.50570136722,72657.7835154297,45419.126212004165,1.0773791820977494,0.6734807846084637,0.24135227676592885,471.65660624848726
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,13545454,13652719,2021-11-03,2021-11-20,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,138630.8817529289,166950.71125435614,169628.64840427056,28319.829501427244,30997.766651341663,0.20428225762784577,0.223599289417971,-0.01578705705142551,0
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x04d2d5f1454aa14c5e083926ecb5b0cfc94e67a0,13041467,13099980,2021-08-17,2021-08-26,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,983.9909287004092,1161.581543768048,1162.1310782947837,177.59061506763885,178.14014959437452,0.18047993115362243,0.1810384063495894,-0.0004728679380487886,30.550349496164888
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x051149ecc5e1605293764bfb27171d2caae1f92c,12936136,12987534,2021-08-01,2021-08-09,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,556.3284623191558,517.7431187969354,524.9577774783401,-38.585343522220455,-31.370684840815784,-0.06935712647411651,-0.05638878282452314,-0.013743312302297209,7.115498691034939
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x05258e865f382b33e3d45bcd0fef58458611bda9,13007760,13122555,2021-08-12,2021-08-29,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4877.209910843468,7778.049766972261,8253.21655379405,2900.839856128793,3376.0066429505814,0.5947744528443148,0.6922003983147678,-0.05757352708785419,361.8750302959098
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x0563a03453be1b5218b3171f078078a6cbe8979d,13610469,14178022,2021-11-14,2022-02-10,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,52957.69008633365,34826.255202414875,34283.15326484045,-18131.434883918773,-18674.536821493195,-0.34237586371989065,-0.3526312569722972,0.015841656494631935,0
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x0645736eecfe8b572cbabb885eaade641b659846,12930208,13442064,2021-07-31,2021-10-18,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,19198.56756495367,8605.244570234881,32384.389535498212,-10593.32299471879,13185.82197054454,-0.5517767384925394,0.6868128013162195,-0.734278005740938,763.451281219522
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x072830d5651cde2f74d1b11370600acf33aeace0,12961281,13092974,2021-08-05,2021-08-25,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3364.1847736473337,6908.746703555841,7557.067104221058,3544.5619299085074,4192.882330573724,1.053616899307708,1.2463293822080839,-0.08578994889473622,1.69966468654705
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x075b89c4674835cf99406b3861aedb61eba4ba5b,12982644,13021200,2021-08-08,2021-08-14,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,24300.370333072977,34962.86990645039,36183.03774822645,10662.499573377412,11882.667415153475,0.4387793036580053,0.48899120681223035,-0.033722095150396016,365.437964951657
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x078b611bf67798456f5a0eafb0e23c567f66facc,12928869,12933195,2021-07-30,2021-07-31,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,99834.18673141551,54526.25079538771,109395.20175831404,-45307.9359360278,9561.01502689853,-0.4538318728224832,0.09576894789177363,-0.5015663400315113,192.02325363699254
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x078b611bf67798456f5a0eafb0e23c567f66facc,12939472,12975113,2021-08-01,2021-08-07,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,63959.00363869775,118770.91195485619,66230.90004632622,54811.908316158435,2271.8964076284683,0.856985024747869,0.035521135076811615,0.7932854886734145,430.16684361338685
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x078b611bf67798456f5a0eafb0e23c567f66facc,12987988,13001177,2021-08-09,2021-08-11,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,24505.857197046626,31126.040537913403,31600.016486199405,6620.183340866777,7094.15928915278,0.27014698109252927,0.2894883142470832,-0.014999231044483821,94.69000806498424
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x078b611bf67798456f5a0eafb0e23c567f66facc,13029259,13035528,2021-08-15,2021-08-16,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,190856.52261680993,218604.62244708557,219211.10889766997,27748.099830275634,28354.586280860036,0.14538722308163696,0.1485649318770658,-0.0027666775357973114,412.9568527526203
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x078b611bf67798456f5a0eafb0e23c567f66facc,13068196,13099546,2021-08-21,2021-08-26,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,156703.9040092909,85246.51685441386,171350.94972132865,-71457.38715487705,14647.04571203774,-0.45600259678686994,0.0934695648116675,-0.5025033885540062,1139.8785390748899
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x078b611bf67798456f5a0eafb0e23c567f66facc,13137333,13172271,2021-09-01,2021-09-06,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17294.327370468858,6846.52986758727,18601.518904246972,-10447.797502881589,1307.1915337781138,-0.6041170193598772,0.07558498840551757,-0.6319370529454927,252.05803181554737
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x078b611bf67798456f5a0eafb0e23c567f66facc,13185263,13271543,2021-09-08,2021-09-21,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,31410.809501041087,16027.390988995085,28230.663020482076,-15383.418512046002,-3180.1464805590113,-0.4897491900530654,-0.10124369702899913,-0.43227011787265507,676.3986012799525
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x078b611bf67798456f5a0eafb0e23c567f66facc,13350215,13522006,2021-10-04,2021-10-31,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3008.7019022657446,30215.17035676826,3470.962259638839,27206.468454502516,462.2603573730944,9.042593563029394,0.1536411290945716,7.705127885750106,810.0752151385642
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x07ae98d69128300e0ad7379b1927d8089d1baedb,13120090,13700053,2021-08-29,2021-11-28,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,882.397067592216,898.0401480551449,876.3746945849039,15.643080462928879,-6.022373007312126,0.017727937951577656,-0.006825014756389986,0.024721678528728946,0
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x0847f2f58f9515e799662f7165704c1b103b8c54,13544579,14768374,2021-11-03,2022-05-13,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,29691.827097308502,7360.498075054332,8823.12586978942,-22331.32902225417,-20868.70122751908,-0.7521035653706354,-0.7028432827365744,-0.1657720649484509,0
0x99b42f2b49c395d2a77d973f6009abb5d67da343,0x09337f2db0f56f24835f3157bf241886d6f45e19,12929493,12941012,2021-07-30,2021-08-01,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,74070.85972271743,73935.72658403504,73655.40858768523,-135.13313868238765,-415.4511350321991,-0.0018243765387394647,-0.005608833711225047,0.0038058032902783872,415.0845858579191
